STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,17.2019,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,17.9733,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,17.9463,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2024,27.8612,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,0.0,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2021,21.3564,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.1127,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,9.10001,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2023,19.7405,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DOM,Dominican Republic,ITU_DH_SKLS_DIG_CONT,Individuals with ICT skills in digital content creation,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,BASIC,Skill level: Basic,_Z,Not Applicable,_Z,Not Applicable,2022,21.6914,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
